course_id,course_name,category,weekly_hours,has_syllabus_url,has_parsed_syllabus_text,source_board_json,source_repo_json,source_merged_json,source_raw_json,source_syllabus_json,supabase_offered_semesters,supabase_effective_semesters,merged_json_semester,raw_json_semesters,override_semesters,semester_in_any_source,semester_source,effective_semester_value,app_offered_semesters,app_effective_semesters,semester_in_app,merged_prereq_ids,prereq_raw_text_snippet,supabase_prereq_text,prereqs_on_mandatory_board,prereqs_in_repo_elective_pool,prereqs_NOT_in_map_foundational,prereq_only_as_text,schedulability_status,problem_category,problem_hebrew,can_fix_automatically,required_fix
0542-4559,מעבדה במכאטרוניקה,other_specialization,3,True,True,False,True,False,False,False,,,,,,False,,[],,,False,,,True,,,,True,unschedulable,semester_not_in_current_sources,יש syllabus אך אין מידע על סמסטר בשום מקור,False,upstream: run pipeline to extract semester from scrape/syllabus
0542-4621,מבוא לרובוטיקה,other_specialization,3,True,True,False,True,False,False,False,,,,,,False,,[],,,False,,,True,,,,True,unschedulable,semester_not_in_current_sources,יש syllabus אך אין מידע על סמסטר בשום מקור,False,upstream: run pipeline to extract semester from scrape/syllabus
0542-4622,דינמיקה ובקרה של מערכות,systems,4,True,True,False,True,False,False,False,"[""B""]",,,,,True,supabase:offered_semesters,"[""B""]","[""B""]","[""B""]",True,,,True,,,,True,schedulable_with_caveat,prerequisites_only_in_text,דרישות קדם קיימות רק כטקסט עברי — לא מפורסמות כ-IDs,False,parse syllabus_prerequisites_he to extract course IDs
0542-4624,מעבדה ברובוטיקה ובקרה של מערכות,advanced_labs,3,True,True,False,True,False,False,False,"[""B""]",,,,,True,supabase:offered_semesters,"[""B""]","[""B""]","[""B""]",True,,,True,,,,True,schedulable_with_caveat,prerequisites_only_in_text,דרישות קדם קיימות רק כטקסט עברי — לא מפורסמות כ-IDs,False,parse syllabus_prerequisites_he to extract course IDs
0542-4722,מבוא להנדסת מערכות זעירות (Mems),other_specialization,5,True,True,False,True,True,True,True,,,B,"[""B""]","[""B""]",True,COURSE_DATA_OVERRIDES (client-side patch),"[""B""]","[""B""]","[""B""]",True,"[""0542-2200"", ""0509-1829"", ""0542-2110""]",מכניקת המוצקים (1) (05422200) + פיזיקה (2) (05091829) + דינמיקה של גוף קשיח (05422110) + פיזיקה (2) ...,True,,,"[""0542-2200"", ""0509-1829"", ""0542-2110""]",False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0555-3160,הנדסת תאים ורקמות,other_specialization,4,True,True,False,True,False,False,False,,,,,,False,,[],,,False,,,False,,,,False,unschedulable,semester_not_in_current_sources,יש syllabus אך אין מידע על סמסטר בשום מקור,False,upstream: run pipeline to extract semester from scrape/syllabus
0555-4000,אתיקה מעשית לתלמידי  תואר ראשון  בהנדסה ומדעים,other_specialization,4,True,True,False,True,False,False,False,,,,,,False,,[],,,False,,,False,,,,False,unschedulable,semester_not_in_current_sources,יש syllabus אך אין מידע על סמסטר בשום מקור,False,upstream: run pipeline to extract semester from scrape/syllabus
0555-4432,תכנון מערכות ביו-רפואיות,other_specialization,4,True,True,False,True,False,False,False,,,,,,False,,[],,,False,,,False,,,,False,unschedulable,semester_not_in_current_sources,יש syllabus אך אין מידע על סמסטר בשום מקור,False,upstream: run pipeline to extract semester from scrape/syllabus
0555-4550,מבוא לביופיזיקה של התא,other_specialization,4,True,False,False,True,False,False,False,,,,,,False,,[],,,False,,,False,,,,False,unschedulable,syllabus_exists_but_not_parsed,"אין מידע על סמסטר, אין syllabus מפורסם, אין JSON מפוענח",False,upstream: scrape course page + parse syllabus
0555-4555,ננוחומרים: יסודות פיזיקליים ושימושים בביורפואה,other_specialization,4,True,True,False,True,False,False,False,,,,,,False,,[],,,False,,,True,,,,True,unschedulable,semester_not_in_current_sources,יש syllabus אך אין מידע על סמסטר בשום מקור,False,upstream: run pipeline to extract semester from scrape/syllabus
0555-4562,מבוא לאולטרסאונד: הדמיה וטיפול,other_specialization,4,True,True,False,True,False,False,False,,,,,,False,,[],,,False,,,True,,,,True,unschedulable,semester_not_in_current_sources,יש syllabus אך אין מידע על סמסטר בשום מקור,False,upstream: run pipeline to extract semester from scrape/syllabus
0555-4630,ביו-חומרים פולימרים,other_specialization,4,True,True,False,True,False,False,False,,,,,,False,,[],,,False,,,True,,,,True,unschedulable,semester_not_in_current_sources,יש syllabus אך אין מידע על סמסטר בשום מקור,False,upstream: run pipeline to extract semester from scrape/syllabus
0571-1818,מבני נתונים,other_specialization,4,True,True,False,True,True,True,True,,,B,"[""B""]","[""B""]",True,COURSE_DATA_OVERRIDES (client-side patch),"[""B""]","[""B""]","[""B""]",True,"[""0509-1820""]","תכנות - (פייתון) (05091820) דרישות קדם ספציפיות בקורס בהתאם לתוכנית הלימודים הנלמדת, מופיעות בדף היד...",True,,,"[""0509-1820""]",False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0571-3802,מודלים דטרמיניסטיים בחקר ביצועים,other_specialization,4,True,True,False,True,True,True,True,,,B,"[""B""]","[""B""]",True,COURSE_DATA_OVERRIDES (client-side patch),"[""B""]","[""B""]","[""B""]",True,"[""0509-1424""]","אלגברה ליניארית לתעשיה ונ (05091424) דרישות קדם ספציפיות בקורס בהתאם לתוכנית הלימודים הנלמדת, מופיעו...",True,,,"[""0509-1424""]",False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0571-4174,תיכון וחשיבה המצאתית,other_specialization,2,True,True,False,True,True,True,True,,,A,"[""A""]","[""A""]",True,COURSE_DATA_OVERRIDES (client-side patch),"[""A""]","[""A""]","[""A""]",True,,,False,,,,False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0581-4131,מעבדה בחומרים הנדסיים,advanced_labs,1,True,True,False,True,True,True,True,"[""A""]",,A,"[""A""]",,True,supabase:offered_semesters,"[""A""]","[""A""]","[""A""]",True,"[""0581-1111""]","מבוא למדע והנדסה של חומרי (05811111) דרישות קדם ספציפיות בקורס בהתאם לתוכנית הלימודים הנלמדת, מופיעו...",True,,,"[""0581-1111""]",False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
